1 2 3 4 5 6 7 8 
1 2 3 4 5 8 7 6 
1 2 3 6 5 4 7 8 
1 2 3 8 5 6 7 4 
1 4 3 2 5 6 7 8 
1 4 3 2 5 8 7 6 
1 6 3 4 5 2 7 8 
1 8 3 4 5 6 7 2 
1 8 3 6 5 4 7 2 
1 2 3 4 7 6 5 8 
1 2 3 6 7 8 5 4 
1 2 3 8 7 4 5 6 
1 2 3 8 7 6 5 4 
1 4 3 2 7 6 5 8 
1 8 3 4 7 6 5 2 
1 2 5 4 3 6 7 8 
1 2 5 4 3 8 7 6 
1 4 5 6 3 2 7 8 
1 6 5 2 3 4 7 8 
1 6 5 4 3 2 7 8 
1 8 5 4 3 6 7 2 
1 2 5 6 7 4 3 8 
1 4 5 6 7 8 3 2 
1 4 5 8 7 6 3 2 
1 6 5 4 7 8 3 2 
1 8 5 6 7 2 3 4 
1 8 5 6 7 4 3 2 
1 2 7 6 3 4 5 8 
1 6 7 8 3 4 5 2 
1 8 7 2 3 4 5 6 
1 8 7 2 3 6 5 4 
1 8 7 4 3 2 5 6 
1 8 7 6 3 4 5 2 
1 2 7 4 5 6 3 8 
1 2 7 6 5 4 3 8 
1 4 7 6 5 8 3 2 
1 6 7 8 5 2 3 4 
1 6 7 8 5 4 3 2 
1 8 7 2 5 4 3 6 
1 8 7 4 5 6 3 2 
1 8 7 6 5 2 3 4 
1 8 7 6 5 4 3 2 
3 2 1 4 5 6 7 8 
3 2 1 4 5 8 7 6 
3 2 1 6 5 4 7 8 
3 2 1 8 5 6 7 4 
3 2 1 4 7 6 5 8 
3 2 1 6 7 8 5 4 
3 2 1 8 7 4 5 6 
3 2 1 8 7 6 5 4 
3 4 5 2 1 6 7 8 
3 4 5 2 1 8 7 6 
3 4 5 6 7 2 1 8 
3 6 5 4 7 2 1 8 
3 6 7 2 1 8 5 4 
3 4 7 6 5 2 1 8 
5 4 1 2 3 6 7 8 
5 4 1 2 3 8 7 6 
5 4 1 8 7 2 3 6 
5 2 3 4 1 6 7 8 
5 2 3 4 1 8 7 6 
5 4 3 2 1 6 7 8 
5 4 3 2 1 8 7 6 
5 4 3 6 7 2 1 8 
5 6 7 4 1 2 3 8 
5 6 7 2 3 4 1 8 
5 6 7 4 3 2 1 8 
7 6 1 2 3 4 5 8 
7 6 1 4 3 2 5 8 
7 6 1 2 5 4 3 8 
7 6 3 2 1 4 5 8 
7 2 3 4 5 6 1 8 
7 2 3 6 5 4 1 8 
7 4 3 2 5 6 1 8 
7 6 3 4 5 2 1 8 
7 4 5 6 1 2 3 8 
7 6 5 4 1 2 3 8 
7 2 5 4 3 6 1 8 
7 4 5 6 3 2 1 8 
7 6 5 2 3 4 1 8 
7 6 5 4 3 2 1 8 
