1 2 3 4 5 6 7 8 9 10 11 12 13 14 
1 2 3 4 5 6 7 8 9 10 11 14 13 12 
1 2 3 4 5 6 7 8 9 12 11 10 13 14 
1 2 3 4 5 6 7 8 9 14 11 12 13 10 
1 2 3 4 5 6 7 10 9 8 11 12 13 14 
1 2 3 4 5 6 7 10 9 8 11 14 13 12 
1 2 3 4 5 6 7 12 9 10 11 8 13 14 
1 2 3 4 5 6 7 14 9 10 11 12 13 8 
1 2 3 4 5 6 7 14 9 12 11 10 13 8 
1 2 3 4 5 8 7 6 9 10 11 12 13 14 
1 2 3 4 5 8 7 6 9 10 11 14 13 12 
1 2 3 4 5 8 7 6 9 12 11 10 13 14 
1 2 3 4 5 8 7 6 9 14 11 12 13 10 
1 2 3 4 5 10 7 8 9 6 11 12 13 14 
1 2 3 4 5 10 7 8 9 6 11 14 13 12 
1 2 3 4 5 12 7 8 9 10 11 6 13 14 
1 2 3 4 5 12 7 10 9 8 11 6 13 14 
1 2 3 4 5 14 7 8 9 10 11 12 13 6 
1 2 3 4 5 14 7 8 9 12 11 10 13 6 
1 2 3 4 5 14 7 10 9 8 11 12 13 6 
1 2 3 4 5 14 7 12 9 10 11 8 13 6 
1 2 3 6 5 4 7 8 9 10 11 12 13 14 
1 2 3 6 5 4 7 8 9 10 11 14 13 12 
1 2 3 6 5 4 7 8 9 12 11 10 13 14 
1 2 3 6 5 4 7 8 9 14 11 12 13 10 
1 2 3 6 5 4 7 10 9 8 11 12 13 14 
1 2 3 6 5 4 7 10 9 8 11 14 13 12 
1 2 3 6 5 4 7 12 9 10 11 8 13 14 
1 2 3 6 5 4 7 14 9 10 11 12 13 8 
1 2 3 6 5 4 7 14 9 12 11 10 13 8 
1 2 3 8 5 6 7 4 9 10 11 12 13 14 
1 2 3 8 5 6 7 4 9 10 11 14 13 12 
1 2 3 8 5 6 7 4 9 12 11 10 13 14 
1 2 3 8 5 6 7 4 9 14 11 12 13 10 
1 2 3 10 5 6 7 8 9 4 11 12 13 14 
1 2 3 10 5 6 7 8 9 4 11 14 13 12 
1 2 3 10 5 8 7 6 9 4 11 12 13 14 
1 2 3 10 5 8 7 6 9 4 11 14 13 12 
1 2 3 12 5 6 7 8 9 10 11 4 13 14 
1 2 3 12 5 6 7 10 9 8 11 4 13 14 
1 2 3 12 5 8 7 6 9 10 11 4 13 14 
1 2 3 12 5 10 7 8 9 6 11 4 13 14 
1 2 3 14 5 6 7 8 9 10 11 12 13 4 
1 2 3 14 5 6 7 8 9 12 11 10 13 4 
1 2 3 14 5 6 7 10 9 8 11 12 13 4 
1 2 3 14 5 6 7 12 9 10 11 8 13 4 
1 2 3 14 5 8 7 6 9 10 11 12 13 4 
1 2 3 14 5 8 7 6 9 12 11 10 13 4 
1 2 3 14 5 10 7 8 9 6 11 12 13 4 
1 2 3 14 5 12 7 8 9 10 11 6 13 4 
1 2 3 14 5 12 7 10 9 8 11 6 13 4 
1 4 3 2 5 6 7 8 9 10 11 12 13 14 
1 4 3 2 5 6 7 8 9 10 11 14 13 12 
1 4 3 2 5 6 7 8 9 12 11 10 13 14 
1 4 3 2 5 6 7 8 9 14 11 12 13 10 
1 4 3 2 5 6 7 10 9 8 11 12 13 14 
1 4 3 2 5 6 7 10 9 8 11 14 13 12 
1 4 3 2 5 6 7 12 9 10 11 8 13 14 
1 4 3 2 5 6 7 14 9 10 11 12 13 8 
1 4 3 2 5 6 7 14 9 12 11 10 13 8 
1 4 3 2 5 8 7 6 9 10 11 12 13 14 
1 4 3 2 5 8 7 6 9 10 11 14 13 12 
1 4 3 2 5 8 7 6 9 12 11 10 13 14 
1 4 3 2 5 8 7 6 9 14 11 12 13 10 
1 4 3 2 5 10 7 8 9 6 11 12 13 14 
1 4 3 2 5 10 7 8 9 6 11 14 13 12 
1 4 3 2 5 12 7 8 9 10 11 6 13 14 
1 4 3 2 5 12 7 10 9 8 11 6 13 14 
1 4 3 2 5 14 7 8 9 10 11 12 13 6 
1 4 3 2 5 14 7 8 9 12 11 10 13 6 
1 4 3 2 5 14 7 10 9 8 11 12 13 6 
1 4 3 2 5 14 7 12 9 10 11 8 13 6 
1 6 3 4 5 2 7 8 9 10 11 12 13 14 
1 6 3 4 5 2 7 8 9 10 11 14 13 12 
1 6 3 4 5 2 7 8 9 12 11 10 13 14 
1 6 3 4 5 2 7 8 9 14 11 12 13 10 
1 6 3 4 5 2 7 10 9 8 11 12 13 14 
1 6 3 4 5 2 7 10 9 8 11 14 13 12 
1 6 3 4 5 2 7 12 9 10 11 8 13 14 
1 6 3 4 5 2 7 14 9 10 11 12 13 8 
1 6 3 4 5 2 7 14 9 12 11 10 13 8 
1 8 3 4 5 6 7 2 9 10 11 12 13 14 
1 8 3 4 5 6 7 2 9 10 11 14 13 12 
1 8 3 4 5 6 7 2 9 12 11 10 13 14 
1 8 3 4 5 6 7 2 9 14 11 12 13 10 
1 8 3 6 5 4 7 2 9 10 11 12 13 14 
1 8 3 6 5 4 7 2 9 10 11 14 13 12 
1 8 3 6 5 4 7 2 9 12 11 10 13 14 
1 8 3 6 5 4 7 2 9 14 11 12 13 10 
1 10 3 4 5 6 7 8 9 2 11 12 13 14 
1 10 3 4 5 6 7 8 9 2 11 14 13 12 
1 10 3 4 5 8 7 6 9 2 11 12 13 14 
1 10 3 4 5 8 7 6 9 2 11 14 13 12 
1 10 3 6 5 4 7 8 9 2 11 12 13 14 
1 10 3 6 5 4 7 8 9 2 11 14 13 12 
1 10 3 8 5 6 7 4 9 2 11 12 13 14 
1 10 3 8 5 6 7 4 9 2 11 14 13 12 
1 12 3 4 5 6 7 8 9 10 11 2 13 14 
1 12 3 4 5 6 7 10 9 8 11 2 13 14 
1 12 3 4 5 8 7 6 9 10 11 2 13 14 
1 12 3 4 5 10 7 8 9 6 11 2 13 14 
1 12 3 6 5 4 7 8 9 10 11 2 13 14 
1 12 3 6 5 4 7 10 9 8 11 2 13 14 
1 12 3 8 5 6 7 4 9 10 11 2 13 14 
1 12 3 10 5 6 7 8 9 4 11 2 13 14 
1 12 3 10 5 8 7 6 9 4 11 2 13 14 
1 14 3 4 5 6 7 8 9 10 11 12 13 2 
1 14 3 4 5 6 7 8 9 12 11 10 13 2 
1 14 3 4 5 6 7 10 9 8 11 12 13 2 
1 14 3 4 5 6 7 12 9 10 11 8 13 2 
1 14 3 4 5 8 7 6 9 10 11 12 13 2 
1 14 3 4 5 8 7 6 9 12 11 10 13 2 
1 14 3 4 5 10 7 8 9 6 11 12 13 2 
1 14 3 4 5 12 7 8 9 10 11 6 13 2 
1 14 3 4 5 12 7 10 9 8 11 6 13 2 
1 14 3 6 5 4 7 8 9 10 11 12 13 2 
1 14 3 6 5 4 7 8 9 12 11 10 13 2 
1 14 3 6 5 4 7 10 9 8 11 12 13 2 
1 14 3 6 5 4 7 12 9 10 11 8 13 2 
1 14 3 8 5 6 7 4 9 10 11 12 13 2 
1 14 3 8 5 6 7 4 9 12 11 10 13 2 
1 14 3 10 5 6 7 8 9 4 11 12 13 2 
1 14 3 10 5 8 7 6 9 4 11 12 13 2 
1 14 3 12 5 6 7 8 9 10 11 4 13 2 
1 14 3 12 5 6 7 10 9 8 11 4 13 2 
1 14 3 12 5 8 7 6 9 10 11 4 13 2 
1 14 3 12 5 10 7 8 9 6 11 4 13 2 
1 2 3 4 5 6 7 8 9 10 13 12 11 14 
1 2 3 4 5 6 7 8 9 12 13 14 11 10 
1 2 3 4 5 6 7 8 9 14 13 10 11 12 
1 2 3 4 5 6 7 8 9 14 13 12 11 10 
1 2 3 4 5 6 7 10 9 8 13 12 11 14 
1 2 3 4 5 6 7 14 9 10 13 12 11 8 
1 2 3 4 5 8 7 6 9 10 13 12 11 14 
1 2 3 4 5 8 7 6 9 12 13 14 11 10 
1 2 3 4 5 8 7 6 9 14 13 10 11 12 
1 2 3 4 5 8 7 6 9 14 13 12 11 10 
1 2 3 4 5 10 7 8 9 6 13 12 11 14 
1 2 3 4 5 14 7 8 9 10 13 12 11 6 
1 2 3 4 5 14 7 10 9 8 13 12 11 6 
1 2 3 6 5 4 7 8 9 10 13 12 11 14 
1 2 3 6 5 4 7 8 9 12 13 14 11 10 
1 2 3 6 5 4 7 8 9 14 13 10 11 12 
1 2 3 6 5 4 7 8 9 14 13 12 11 10 
1 2 3 6 5 4 7 10 9 8 13 12 11 14 
1 2 3 6 5 4 7 14 9 10 13 12 11 8 
1 2 3 8 5 6 7 4 9 10 13 12 11 14 
1 2 3 8 5 6 7 4 9 12 13 14 11 10 
1 2 3 8 5 6 7 4 9 14 13 10 11 12 
1 2 3 8 5 6 7 4 9 14 13 12 11 10 
1 2 3 10 5 6 7 8 9 4 13 12 11 14 
1 2 3 10 5 8 7 6 9 4 13 12 11 14 
1 2 3 14 5 6 7 8 9 10 13 12 11 4 
1 2 3 14 5 6 7 10 9 8 13 12 11 4 
1 2 3 14 5 8 7 6 9 10 13 12 11 4 
1 2 3 14 5 10 7 8 9 6 13 12 11 4 
1 4 3 2 5 6 7 8 9 10 13 12 11 14 
1 4 3 2 5 6 7 8 9 12 13 14 11 10 
1 4 3 2 5 6 7 8 9 14 13 10 11 12 
1 4 3 2 5 6 7 8 9 14 13 12 11 10 
1 4 3 2 5 6 7 10 9 8 13 12 11 14 
1 4 3 2 5 6 7 14 9 10 13 12 11 8 
1 4 3 2 5 8 7 6 9 10 13 12 11 14 
1 4 3 2 5 8 7 6 9 12 13 14 11 10 
1 4 3 2 5 8 7 6 9 14 13 10 11 12 
1 4 3 2 5 8 7 6 9 14 13 12 11 10 
1 4 3 2 5 10 7 8 9 6 13 12 11 14 
1 4 3 2 5 14 7 8 9 10 13 12 11 6 
1 4 3 2 5 14 7 10 9 8 13 12 11 6 
1 6 3 4 5 2 7 8 9 10 13 12 11 14 
1 6 3 4 5 2 7 8 9 12 13 14 11 10 
1 6 3 4 5 2 7 8 9 14 13 10 11 12 
1 6 3 4 5 2 7 8 9 14 13 12 11 10 
1 6 3 4 5 2 7 10 9 8 13 12 11 14 
1 6 3 4 5 2 7 14 9 10 13 12 11 8 
1 8 3 4 5 6 7 2 9 10 13 12 11 14 
1 8 3 4 5 6 7 2 9 12 13 14 11 10 
1 8 3 4 5 6 7 2 9 14 13 10 11 12 
1 8 3 4 5 6 7 2 9 14 13 12 11 10 
1 8 3 6 5 4 7 2 9 10 13 12 11 14 
1 8 3 6 5 4 7 2 9 12 13 14 11 10 
1 8 3 6 5 4 7 2 9 14 13 10 11 12 
1 8 3 6 5 4 7 2 9 14 13 12 11 10 
1 10 3 4 5 6 7 8 9 2 13 12 11 14 
1 10 3 4 5 8 7 6 9 2 13 12 11 14 
1 10 3 6 5 4 7 8 9 2 13 12 11 14 
1 10 3 8 5 6 7 4 9 2 13 12 11 14 
1 14 3 4 5 6 7 8 9 10 13 12 11 2 
1 14 3 4 5 6 7 10 9 8 13 12 11 2 
1 14 3 4 5 8 7 6 9 10 13 12 11 2 
1 14 3 4 5 10 7 8 9 6 13 12 11 2 
1 14 3 6 5 4 7 8 9 10 13 12 11 2 
1 14 3 6 5 4 7 10 9 8 13 12 11 2 
1 14 3 8 5 6 7 4 9 10 13 12 11 2 
1 14 3 10 5 6 7 8 9 4 13 12 11 2 
1 14 3 10 5 8 7 6 9 4 13 12 11 2 
1 2 3 4 5 6 7 8 11 10 9 12 13 14 
1 2 3 4 5 6 7 8 11 10 9 14 13 12 
1 2 3 4 5 6 7 10 11 12 9 8 13 14 
1 2 3 4 5 6 7 12 11 8 9 10 13 14 
1 2 3 4 5 6 7 12 11 10 9 8 13 14 
1 2 3 4 5 6 7 14 11 10 9 12 13 8 
1 2 3 4 5 8 7 6 11 10 9 12 13 14 
1 2 3 4 5 8 7 6 11 10 9 14 13 12 
